Metric,Corr,rAULR,ECE
Std vs abs,0.7826410549034929,0.8422907852945877,0.09630984235554932
Std vs mse,0.6188037577766609,0.6659857441414265,0.020455194730311634
Var vs abs,0.6983828717718774,0.7860529012654035,0.10804422358050943
Var vs mse,0.5669762509230056,0.6472782206849728,0.032189576001837854
