Metric,Corr,rAULR,ECE
Std vs abs,0.9787782769147297,0.9601279513098814,0.07869839638005942
Std vs mse,0.9300432912389447,0.7943928008360469,0.017077064148907084
Var vs abs,0.9472821414905934,0.9447584559407578,0.09165961734252051
Var vs mse,0.9101542002292282,0.7934856052709349,0.029144651688693554
