Metric,Corr,rAULR,ECE
Std vs abs,0.9678426924606002,0.9448748183389437,0.07740628824103624
Std vs mse,0.9130321877204927,0.7346836761104752,0.004057433793786912
Var vs abs,0.9260986003402657,0.9146042314784074,0.10561478533782066
Var vs mse,0.8758269790739611,0.7170092239520628,0.03039114002458519
